id,first_node_id,second_node_id,length_in_meters
3453,2828,2820,7.776854095
3454,639,2828,7.591690902
3455,1538,2820,5.925543623
3751,1716,2978,4.93768514
3752,2978,2848,9.566764958
3356,2764,1569,6.357569227
3357,1569,2762,7.221628277
3358,2764,1768,10.30741773
3360,1112,2777,5.369732589
3362,2777,2768,7.962017288
3363,1112,2773,6.11038536
3364,2772,410,6.295548553
3365,2776,1112,8.332343673
3366,2776,410,8.023738352
3369,2763,722,11.60356008
3370,525,2780,6.97448026
3371,1550,2759,6.048979191
3372,2778,525,6.851038131
3373,1110,2779,6.2958511
3374,2771,330,8.023738352
3375,2771,271,8.332572267
3376,330,2774,6.665874939
3378,2760,2770,9.690207087
3379,2765,273,9.445137981
3380,23,2765,6.667017823
3381,273,2766,8.332343673
3694,2806,2945,12.34421285
3695,2944,2783,11.60372423
3696,2798,2944,11.97404554
3697,2900,2947,7.900537318
3698,2901,2951,7.900296223
3699,2951,2949,9.44352453
3700,2949,2895,6.974753356
3701,2950,2897,7.406784876
3702,2947,2950,9.505244285
3662,721,2928,8.826112187
3663,2927,2863,9.011486751
3664,2850,1767,12.83798136
3665,2929,1751,9.875370279
3666,2931,2930,9.813843305
3667,2930,2929,9.752123469
3668,17,2931,13.02314456
3669,1752,2935,13.45519201
3670,2809,2936,13.20830775
3671,2935,2800,13.27002881
3672,2932,1223,8.949554316
3673,1221,2934,8.147414269
3674,2934,1222,8.270622609
3687,2942,2943,8.394064737
3688,2943,2789,8.456011058
3689,2788,2942,8.332343673
3690,2797,2782,13.82551839
3691,2945,2803,14.25769944
3692,2804,2946,13.82565616
3693,2946,2802,16.0474767
3651,193,2920,8.57922793
3652,2920,2860,8.949767144
3653,2865,2924,12.34421285
3654,2857,2918,9.134717508
3655,2924,1763,12.7762603
3656,2918,915,8.085459416
3657,1541,2925,11.41839689
3658,2925,1540,9.196438573
3659,2926,1097,11.29512339
3660,1767,2926,10.43085986
3661,2928,2927,10.30741773
3675,1222,2932,11.60356008
3676,2936,1753,13.88737661
3677,2847,2933,6.97448026
3678,2933,1221,6.789597611
3679,1560,2937,9.134926023
3680,2939,2938,10.61602305
3681,2938,1559,11.10996301
3682,2937,2939,12.46780775
